factors_by_location_view_id,location,infection_rate,death_rate,avg_stringency_index,avg_population_density,avg_cardiovasc_death_rate,avg_aged_70_older,avg_handwashing_facilities,avg_human_development_index,avg_life_expectancy,full_vaccination_rate
168,San Marino,37.8265,0.2722,25.80263566,556.667,0,0,0,0,84.97000122,19.5072
50,Cyprus,36.7897,0.083,31.92848191,127.657,141.171,8.562999725,0,0.887000024,80.98000336,38.9218
75,Gibraltar,35.2119,0.2413,0,3457.1,0,0,0,0,79.93000031,41.7871
5,Andorra,34.78,0.1519,23.70897933,163.755,109.135,0,0,0.867999971,83.73000336,35.7831
65,Faeroe Islands,34.0822,0.0285,19.51640181,35.308,0,0,0,0,80.66999817,43.3297
178,Slovenia,33.2424,0.2744,28.7319186,102.619,153.493,12.93000031,0,0.916999996,81.31999969,43.3454
12,Austria,32.8215,0.1614,34.79383721,106.749,145.183,13.74800014,0,0.921999991,81.54000092,36.0693
53,Denmark,30.2701,0.0808,25.00119509,136.52,114.767,12.32499981,0,0.939999998,80.90000153,35.3179
114,Luxembourg,30.1376,0.0979,26.67914083,231.447,128.275,9.842000008,0,0.916000009,82.25,0.2047
29,Brunei,28.9986,0.0175,27.96359173,81.347,201.285,2.381999969,0,0.838,75.86000061,38.6073
68,France,28.9243,0.168,29.92939922,122.578,86.06,13.07900047,0,0.901000023,82.66000366,36.8898
157,Portugal,28.704,0.1733,30.93999354,112.371,127.842,14.92399979,0,0.864000022,82.05000305,35.6681
112,Liechtenstein,28.3526,0.1512,25.08027778,237.012,0,0,0,0.91900003,82.48999786,0
88,Iceland,27.94,0.0242,21.6749677,3.404,117.992,9.206999779,0,0.949000001,82.98999786,41.3764
95,Israel,27.895,0.085,30.6450969,402.606,93.32,7.359000206,0,0.91900003,82.97000122,36.0954
72,Georgia,27.8342,0.2795,30.81050388,65.032,496.218,10.24400043,0,0.811999977,73.76999664,43.2231
107,Latvia,27.4826,0.2321,25.12634367,31.212,350.06,14.13599968,0,0.865999997,75.29000092,47.0578
15,Bahrain,27.3968,0.0727,26.7578553,1935.907,151.689,1.386999965,0,0.851999998,77.29000092,38.5309
137,Netherlands,26.9935,0.098,30.1959088,508.544,109.361,11.88099957,0,0.944000006,82.27999878,33.8309
188,Switzerland,26.7011,0.1155,25.74187984,214.243,99.739,12.64400005,0,0.954999983,83.77999878,0
182,South Korea,26.557,0.031,28.85215762,527.967,85.998,8.621999741,0,0.916000009,83.02999878,50.2646
173,Seychelles,26.5479,0.097,32.60125323,208.354,242.648,5.585999966,0,0.796000004,73.40000153,41.8028
113,Lithuania,26.1727,0.2182,25.30594872,45.135,342.989,13.77799988,0,0.882000029,75.93000031,42.5338
51,Czechia,25.9664,0.2745,27.72452274,137.176,227.485,11.57999992,0,0.899999976,79.37999725,38.7843
62,Estonia,25.1214,0.1291,22.55273779,31.033,255.569,13.49100018,0,0.89200002,78.73999786,42.3787
76,Greece,24.5252,0.201,36.91592949,83.479,175.695,14.52400017,0,0.888000011,82.23999786,36.7164
130,Montenegro,24.0156,0.2784,0,46.28,387.305,9.395000458,0,0.828999996,76.87999725,43.5764
128,Monaco,23.6987,0.1111,26.0552584,19347.5,0,0,0,0,86.75,45.2644
10,Aruba,23.6169,0.1572,27.08159561,584.8,0,7.452000141,0,0,76.29000092,46.2653
94,Isle of Man,23.5898,0.0878,0,147.872,0,0,0,0,81.40000153,37.7529
19,Belgium,22.9375,0.2159,27.64588501,375.564,114.898,12.84899998,0,0.930999994,81.62999725,34.2321
37,Cayman Islands,22.6499,0.0264,0,256.496,0,0,0,0,83.91999817,42.8892
73,Germany,22.1147,0.1304,31.1822739,237.016,156.139,15.95699978,0,0.947000027,81.33000183,36.4087
96,Italy,21.9052,0.2195,36.78003209,205.859,113.151,16.23999977,0,0.89200002,83.51000214,35.5372
165,Saint Martin (French part),21.4139,0.0972,0,590.533,0,0,0,0,82.08000183,\N
119,Maldives,21.1398,0.0392,0,1454.433,164.905,2.875,95.8030014,0.74000001,78.91999817,40.2465
172,Serbia,20.7927,0.1583,26.42770026,80.291,439.415,0,97.71900177,0.805999994,76,41.9865
204,United Kingdom,20.694,0.2377,30.49320413,272.898,122.137,12.52700043,0,0.931999981,81.31999969,36.9725
