infection_death_rate_id,location,continent,total_cases,total_deaths,total_population,infection_rate,death_rate,infected_population,dead_population_no
181,"San Marino","Europe",19727317,141974,50265480,39.2463,0.2824,30538163,50123506
53,"Cyprus","Europe",510279592,1151586,1324298346,38.5321,0.0870,814018754,1323146760
47,"Cook Islands","Oceania",4859395,1129,13131672,37.0052,0.0086,8272277,13130543
174,"Saint Helena","Africa",1189240,0,3218996,36.9444,0.0000,2029756,3218996
80,"Gibraltar","Europe",17811575,122053,48525345,36.7057,0.2515,30713770,48403292
5,"Andorra","Europe",42987051,187794,118566855,36.2555,0.1584,75579804,118379061
68,"Faeroe Islands","Europe",28024116,23422,78878745,35.5281,0.0297,50854629,78855323
144,"Nauru","Oceania",3266126,638,9251739,35.3028,0.0069,5985613,9251101
191,"Slovenia","Europe",1090854338,9003474,3147966855,34.6527,0.2860,2057112517,3138963381
13,"Austria","Europe",4542017230,22337666,13337908564,34.0534,0.1675,8795891334,13315570898
129,"Martinique","North America",177207133,960412,545755320,32.4701,0.1760,368548187,544794908
105,"Jersey","Europe",51525652,153475,163756488,31.4648,0.0937,112230836,163603013
56,"Denmark","Europe",2756316083,7352968,8776330428,31.4062,0.0838,6020014345,8768977460
121,"Luxembourg","Europe",302125591,981840,966220692,31.2688,0.1016,664095101,965238852
31,"Brunei","Asia",201556278,121649,663624956,30.3720,0.0183,462068678,663503307
167,"Portugal","Europe",4563724500,27554340,15396014643,29.6422,0.1790,10832290143,15368460303
119,"Liechtenstein","Europe",17272816,92083,58442175,29.5554,0.1576,41169359,58350092
72,"France","Europe",30363182528,176343292,103550451000,29.3221,0.1703,73187268472,103374107708
178,"Saint Pierre and Miquelon","North America",2465942,1269,8533250,28.8980,0.0149,6067308,8531981
77,"Georgia","Asia",1613356042,16202574,5586622420,28.8789,0.2900,3973266378,5570419846
101,"Israel","Asia",4080209729,12440171,14230194000,28.6729,0.0874,10149984271,14217753829
114,"Latvia","Europe",787325858,6650003,2748221190,28.6486,0.2420,1960895332,2741571187
94,"Iceland","Europe",161284892,139500,564202239,28.5864,0.0247,402917347,564062739
16,"Bahrain","Asia",624379723,1656035,2196577604,28.4251,0.0754,1572197881,2194921569
146,"Netherlands","Europe",7381961576,26789397,26205517840,28.1695,0.1022,18823556264,26178728443
173,"Saint Barthelemy","North America",4597388,4513,16326090,28.1598,0.0276,11728702,16321577
186,"Seychelles","Africa",44028393,160892,158345530,27.8053,0.1016,114317137,158184638
84,"Guadeloupe","North America",162380852,975078,584936236,27.7604,0.1667,422555384,583961158
120,"Lithuania","Europe",1122831499,9362656,4045335318,27.7562,0.2314,2922503819,4035972662
152,"Niue","Oceania",405694,0,1464000,27.7113,0.0000,1058306,1464000
202,"Switzerland","Europe",3612727644,15624027,13040782732,27.7033,0.1198,9428055088,13025158705
87,"Guernsey","Europe",25807198,57922,94043565,27.4417,0.0616,68236367,93985643
54,"Czechia","Europe",4253590835,44973710,15583575150,27.2953,0.2886,11329984315,15538601440
195,"South Korea","Asia",21301584955,24850654,79485449472,26.7994,0.0313,58183864517,79460598818
65,"Estonia","Europe",518344021,2663872,1978487488,26.1990,0.1346,1460143467,1975823616
138,"Montenegro","Europe",233124571,2702561,896100178,26.0155,0.3016,662975607,893397617
158,"Palau","Oceania",4444913,6177,17234052,25.7915,0.0358,12789139,17227875
81,"Greece","Europe",3973213945,32569036,15494378224,25.6429,0.2102,11521164279,15461809188
11,"Aruba","North America",38920250,259075,156601189,24.8531,0.1654,117680939,156342114
100,"Isle of Man","Europe",30869242,114867,124349514,24.8246,0.0924,93480272,124234647
26,"Bonaire Sint Eustatius and Saba","North America",9560090,36812,39414764,24.2551,0.0934,29854674,39377952
69,"Falkland Islands","South America",1340106,0,5538057,24.1981,0.0000,4197951,5538057
136,"Monaco","Europe",13386957,62752,56232631,23.8064,0.1116,42845674,56169879
39,"Cayman Islands","North America",24095302,28044,101571116,23.7226,0.0276,77475814,101543072
20,"Belgium","Europe",4138691152,38964202,17635411499,23.4681,0.2209,13496720347,17596447297
102,"Italy","Europe",20148501718,201940382,89736957440,22.4528,0.2250,69588455722,89535017058
177,"Saint Martin (French part)","North America",10546596,47870,47246760,22.3224,0.1013,36700164,47198890
78,"Germany","Europe",28540467291,168344463,129056512320,22.1147,0.1304,100516045029,128888167857
125,"Maldives","Asia",171409718,317990,777840030,22.0366,0.0409,606430312,777522040
185,"Serbia","Europe",2211756947,16840457,10204247295,21.6749,0.1650,7992490348,10187406838
219,"United Kingdom","Europe",21626065606,248357094,102613582720,21.0752,0.2420,80987517114,102365225626
188,"Singapore","Asia",1738786215,1419867,8607732594,20.2003,0.0165,6868946379,8606312727
18,"Barbados","North America",81638089,460962,414301266,19.7050,0.1113,332663177,413840304
99,"Ireland","Europe",1463438406,9145006,7459315380,19.6189,0.1226,5995876974,7450170374
12,"Australia","Oceania",7830644576,14859483,39972905070,19.5899,0.0372,32142260494,39958045587
73,"French Guiana","South America",88170382,408030,452283480,19.4945,0.0902,364113098,451875450
190,"Slovakia","Europe",1619255015,20917548,8380530675,19.3216,0.2496,6761275660,8359613127
148,"New Zealand","Oceania",1492754314,1928034,7736451188,19.2951,0.0249,6243696874,7734523154
50,"Croatia","Europe",1142126700,17130090,6013298612,18.9933,0.2849,4871171912,5996168522
168,"Puerto Rico","North America",908484038,5462914,4807064936,18.8989,0.1136,3898580898,4801602022
215,"Tuvalu","Oceania",1440148,288,7707800,18.6843,0.0037,6267652,7707512
220,"United States","North America",92881443003,1152383645,516568610112,17.9805,0.2231,423687167109,515416226467
128,"Marshall Islands","Oceania",9316581,10020,51866471,17.9626,0.0193,42549890,51856451
222,"Uruguay","South America",897412134,7560898,5058892488,17.7393,0.1495,4161480354,5051331590
134,"Micronesia (country)","Oceania",14270399,35604,80838024,17.6531,0.0440,66567625,80802420
137,"Mongolia","Asia",877653325,2031941,5022795294,17.4734,0.0405,4145141969,5020763353
197,"Spain","Europe",12530719519,134178397,72954941488,17.1760,0.1839,60424221969,72820763091
85,"Guam","Oceania",42941063,392391,252692793,16.9934,0.1553,209751730,252300402
74,"French Polynesia","Oceania",72958779,646484,452699576,16.1164,0.1428,379740797,452053092
23,"Bermuda","North America",15202770,142601,94448497,16.0964,0.1510,79245727,94305896
201,"Sweden","Europe",2523520859,24963903,15961165037,15.8104,0.1564,13437644178,15936201134
189,"Sint Maarten (Dutch part)","North America",9939844,93430,65006432,15.2906,0.1437,55066588,64913002
42,"Chile","South America",4391253584,61973610,29248774112,15.0135,0.2119,24857520528,29186800502
155,"Norway","Europe",1221619740,4078605,8146051676,14.9965,0.0501,6924431936,8141973071
228,"Wallis and Futuna","Oceania",2154790,7590,14541384,14.8183,0.0522,12386594,14533794
160,"Panama","North America",957967452,9745031,6515884196,14.7020,0.1496,5557916744,6506139165
139,"Montserrat","North America",953242,6238,6491523,14.6844,0.0961,5538281,6485285
154,"Northern Mariana Islands","Oceania",10604201,32696,72229318,14.6813,0.0453,61625117,72196622
52,"Curacao","North America",40814331,277659,282553694,14.4448,0.0983,241739363,282276035
